Country,Population
Andorra ,71201
Austria ,8192880
Belgium ,10379067
Denmark ,5450661
Faroe Islands ,47246
Finland ,5231372
France ,60876136
Germany ,82422299
Gibraltar ,27928
Greece ,10688058
Guernsey ,65409
Iceland ,299388
Ireland ,4062235
Isle of Man ,75441
Italy ,58133509
Jersey ,91084
Liechtenstein ,33987
Luxembourg ,474413
Malta ,400214
Monaco ,32543
Netherlands ,16491461
Norway ,4610820
Portugal ,10605870
San Marino ,29251
Spain ,40397842
Sweden ,9016596
Switzerland ,7523934
United Kingdom ,60609153
